paradigm,window,subject,fold,model,method,label_source,sample_idx,class_idx,runtime_seconds,hardware,score_type,n_samples_timed,partition_id,n_partitions,method_params
MI,2.5-5,43,1,tgarnet,LIME,y_test,30,1,2.4449917829999777,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,32,1,2.4862731790001362,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,35,0,2.398645878000025,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,38,1,2.673584154999844,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,39,1,3.7447448969999186,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,0,0,1.0484549979998974,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,1,0,0.48983512900008463,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,3,0,0.49582408699984626,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,7,1,0.5388004449998789,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,9,0,0.5014258779999636,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,11,0,0.49227301999985684,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,12,0,0.4730622409999796,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,14,1,0.5240912579999986,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,17,0,0.48867488199994114,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,18,0,0.5221534739998788,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,19,0,0.5304069720000371,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,23,1,0.5081768339998689,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,24,1,0.4955783909999809,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
