window,model,subject,n_folds,seed,mean_accuracy,std_accuracy,mean_recall,std_recall,mean_precision,std_precision,mean_kappa,std_kappa,mean_auc,std_auc
0-7,eegnet,6,5,42,0.786984126984127,0.08128743299187562,0.780921052631579,0.08312578754339198,0.7962153750389046,0.07859953307012647,0.5659056622138691,0.16481577658741012,0.8797368421052632,0.08489418787244606
0-7,eegnet,7,5,42,0.54,0.03791437722025774,0.54,0.03791437722025778,0.5406488949646845,0.03818175347068551,0.08,0.07582875444051547,0.529,0.039433488306260686
0-7,eegnet,8,5,42,0.5103846153846153,0.03276575460074456,0.5092105263157894,0.03153780214264971,0.503750367279779,0.042812919792804396,0.018568829041943367,0.06322635364092737,0.5463947368421052,0.07473612397727628
0-7,eegnet,9,5,42,0.6849999999999999,0.12449899597988731,0.6849999999999999,0.12449899597988731,0.694048729048729,0.13277446085993544,0.37,0.24899799195977465,0.7895000000000001,0.13887269350019824
0-7,eegnet,10,5,42,0.5349999999999999,0.07416198487095664,0.5349999999999999,0.07416198487095664,0.5368348756506651,0.0774431914550294,0.06999999999999999,0.14832396974191328,0.5705,0.056441341231405893
0-7,eegnet,11,5,42,0.44000000000000006,0.04541475531146238,0.44000000000000006,0.04541475531146238,0.39428228972161533,0.09967610459853198,-0.12000000000000002,0.09082951062292473,0.40499999999999997,0.03544361719689457
0-7,eegnet,12,5,42,0.6838655462184875,0.040617019214131335,0.6843137254901961,0.042000139343814386,0.7018100004570593,0.04889039600041212,0.36796088731021886,0.08249109857033421,0.7534602076124568,0.04969763127363899
0-7,eegnet,13,5,42,0.9100000000000001,0.022360679774997918,0.9100000000000001,0.022360679774997918,0.9176473793178598,0.024487604428979046,0.8200000000000001,0.04472135954999577,0.9712500000000001,0.03099899191909307
0-7,eegnet,14,5,42,0.985,0.022360679774997918,0.985,0.022360679774997918,0.9861471861471861,0.020454259142731503,0.97,0.04472135954999579,0.998,0.004472135954999584
0-7,eegnet,15,5,42,0.5129554655870445,0.05250685939068332,0.5096198830409356,0.04777955825667395,0.511710024369871,0.06698579873624598,0.020008808300434455,0.09663107370972851,0.5236057248384118,0.14324275824470892
0-7,eegnet,16,5,42,0.5125641025641026,0.027951217248871722,0.5126315789473684,0.02795239819938451,0.5160067939354867,0.03365812899409183,0.025256241787122224,0.055904635758292354,0.48910526315789477,0.026480308107186434
0-7,eegnet,17,5,42,0.5,0.055901699437494734,0.5,0.05590169943749472,0.5455840455840455,0.12987959510593186,2.2204460492503132e-17,0.11180339887498948,0.5035000000000001,0.06573146126475511
0-7,eegnet,18,5,42,0.6900000000000001,0.07416198487095663,0.6900000000000001,0.07416198487095661,0.7049727404401211,0.06814779793020369,0.38,0.14832396974191325,0.7379999999999999,0.10412432472770236
0-7,eegnet,19,5,42,0.5812807881773399,0.0674310286798218,0.5306089743589744,0.07122266177370441,0.4557931034482758,0.19401046797150098,0.06508479226149959,0.15151367543599348,0.4980109351432881,0.14371408737842242
0-7,eegnet,20,5,42,0.6970588235294117,0.10873903715176092,0.5909090909090909,0.16079534300599335,0.5326983065953654,0.2966778445030445,0.18960634381195132,0.3216035455801733,0.7,0.12097989117184829
0-7,eegnet,21,5,42,0.7788461538461539,0.05144006105805867,0.7789473684210526,0.0514169044278419,0.781872424026819,0.05325124244740538,0.5577529566360052,0.10286603960247635,0.8711052631578948,0.0656672944437091
0-7,eegnet,22,5,42,0.5449999999999999,0.10368220676663861,0.5449999999999999,0.1036822067666386,0.550231904547694,0.11163789781158528,0.09000000000000001,0.20736441353327717,0.5519999999999999,0.17620478143342191
0-7,eegnet,23,5,42,0.8016666666666667,0.18642916879337532,0.8044736842105262,0.18123680580498364,0.7587976935345357,0.29452317152062224,0.6085019710906702,0.3620886336267799,0.9219736842105265,0.11354447430601526
0-7,eegnet,24,5,42,0.522948717948718,0.08069339133816458,0.5226315789473684,0.08036770585281332,0.5214717700600053,0.0847171484897622,0.045356200527704484,0.1608303440448463,0.5383157894736843,0.11856129853242707
0-7,eegnet,25,5,42,0.5457692307692307,0.02440784571160253,0.5489473684210526,0.023855375649283337,0.5826283709964925,0.024372658071286628,0.09719065556230602,0.04729812920202516,0.5072105263157894,0.09762015821979975
0-7,eegnet,26,5,42,0.7350000000000001,0.13874436925511607,0.7350000000000001,0.1387443692551161,0.7426533398400407,0.14174846019535273,0.4699999999999999,0.27748873851023215,0.8140000000000001,0.16211107303327554
0-7,eegnet,27,5,42,0.48108108108108105,0.05198752449100363,0.4827124183006536,0.05306174290611684,0.4815104483362034,0.06313363526543818,-0.03463420754120792,0.10538437843554,0.4987684898520811,0.0506223035499781
0-7,eegnet,28,5,42,0.8319230769230771,0.07270542096708688,0.8305263157894736,0.0733509852422657,0.8404676803431682,0.0694261173985526,0.6626504491769005,0.14651194381980082,0.904342105263158,0.07302868654283559
0-7,eegnet,30,5,42,0.5063333333333333,0.1691662561571374,0.501923076923077,0.16591918178723072,0.5345119352088661,0.2273113815457597,0.005472684798216809,0.3330448048398623,0.47307692307692306,0.15365201723051508
0-7,eegnet,31,5,42,0.6183333333333333,0.11139893276967343,0.6176315789473683,0.11102877643510214,0.6236945560833028,0.11457889250594834,0.2356953642384106,0.22228107119312404,0.6635789473684212,0.1948761370589376
0-7,eegnet,32,5,42,0.505,0.054198708471697034,0.505,0.054198708471697,0.5017387407913724,0.057606453217932015,0.010000000000000009,0.10839741694339397,0.506,0.05569447908006681
0-7,eegnet,33,5,42,0.5171794871794871,0.06870855992118542,0.5163157894736842,0.07000074198261291,0.5148424674740465,0.07297272374857464,0.03241379310344825,0.14033148288669778,0.4851842105263158,0.06241182145286028
0-7,eegnet,35,5,42,0.9,0.025000000000000022,0.9,0.025000000000000022,0.9074172002897269,0.026166475208767952,0.8,0.04999999999999999,0.977,0.010216408370851318
0-7,eegnet,36,5,42,0.7076923076923076,0.0344010458076891,0.7057894736842105,0.035043008794536444,0.7133671679197995,0.03358119096990707,0.4129217635700731,0.06984218856363977,0.76,0.0656683094788201
0-7,eegnet,37,5,42,0.7499999999999999,0.03952847075210478,0.7499999999999999,0.03952847075210474,0.7568638948434344,0.03487233112366777,0.5,0.07905694150420949,0.8815,0.024786589115890937
0-7,eegnet,38,5,42,0.49176788124156545,0.0925219081565041,0.49000000000000005,0.09086381395792614,0.49653250153047307,0.12595748931660547,-0.01961530331853729,0.18207471902195946,0.4348753462603878,0.12432012914130455
0-7,eegnet,39,5,42,0.7285897435897437,0.02788498378772261,0.7286842105263158,0.027840687457682194,0.7315028231665732,0.029833373512906294,0.45725361366622863,0.05573484410865357,0.7577894736842106,0.04873995741435831
0-7,eegnet,40,5,42,0.575,0.03952847075210473,0.575,0.03952847075210473,0.5819546481615447,0.04343907138154996,0.15,0.07905694150420946,0.636,0.10591269989949273
0-7,eegnet,41,5,42,0.5932051282051283,0.06290320303454557,0.5936842105263158,0.06336588559361983,0.6196884443355064,0.05645547840090101,0.18706806282722516,0.12643851689818417,0.6042631578947368,0.08778759621872269
0-7,eegnet,42,5,42,0.585,0.09117291264405233,0.585,0.0911729126440523,0.6156154206154205,0.09861921564605088,0.17,0.18234582528810472,0.5795,0.07967512158760727
0-7,eegnet,43,5,42,0.9949999999999999,0.011180339887498959,0.9949999999999999,0.011180339887498959,0.9952380952380953,0.01064794274999901,0.99,0.022360679774997918,1.0,0.0
0-7,eegnet,44,5,42,0.825,0.06123724356957945,0.825,0.06123724356957947,0.8270570365307208,0.061066597970000795,0.65,0.1224744871391589,0.9015000000000001,0.04540099117860752
0-7,eegnet,45,5,42,0.49000000000000005,0.06274950199005568,0.49000000000000005,0.06274950199005565,0.49887801450301444,0.084034408120293,-0.019999999999999997,0.12549900398011132,0.5305,0.1051843619555683
0-7,eegnet,46,5,42,0.7387179487179487,0.07185865984972005,0.7386842105263158,0.0718558402139533,0.7482100446429427,0.07035553573160133,0.47736842105263155,0.14371168042790655,0.8097894736842106,0.1118249832095051
0-7,eegnet,47,5,42,0.7026990553306343,0.038843194828999256,0.7016081871345029,0.04027983406092499,0.7097620697006886,0.03700666292434141,0.4037284915179814,0.07976810807051553,0.7605078485687903,0.032598855597331146
0-7,eegnet,48,5,42,0.9247435897435897,0.024684065509399365,0.9247368421052633,0.0246758767213398,0.9290912888281309,0.02007568358818622,0.8494736842105262,0.04935175344267957,0.9714210526315789,0.023537447325332396
0-7,eegnet,49,5,42,0.8538461538461538,0.04869906662469037,0.8526023391812865,0.04944584070569447,0.864021978021978,0.04923263450040497,0.7064503312271546,0.09807437263964883,0.9159649122807018,0.04263236608743958
0-7,eegnet,50,5,42,0.985,0.03354101966249683,0.985,0.03354101966249683,0.9869565217391305,0.029166104054345113,0.97,0.0670820393249937,1.0,0.0
0-7,eegnet,51,5,42,0.5669365721997301,0.06428059658452555,0.5686842105263159,0.06304403113297756,0.5717159017453135,0.06350865835663982,0.13707788302076462,0.12620300221375755,0.5488919667590028,0.09851248605435903
0-7,eegnet,52,5,42,0.615,0.0651920240520265,0.615,0.06519202405202648,0.6183327199116673,0.0676715018394066,0.23000000000000004,0.130384048104053,0.6569999999999999,0.1465904157849346
0-7,shallowconvnet,1,5,42,0.8649999999999999,0.03791437722025778,0.8649999999999999,0.037914377220257735,0.8684632024920085,0.03775253461939492,0.7300000000000001,0.07582875444051551,0.9414999999999999,0.024405429723731557
