data_fold,paradigm,window,model,method,subject,fold,percentage_removed,MoRF_score_mean,MoRF_score_std,LeRF_score_mean,LeRF_score_std,ROAD_score_gap_mean,ROAD_score_gap_std,n_samples
4.0,TDAH,TDAH,tgarnet,STF-KernelSHAP,,5,50.0,0.5269003695246776,0.41505537398061604,0.9910458211098018,0.05063522156491435,0.46414545158512427,0.4101985370352012,1722
4.0,TDAH,TDAH,tgarnet,STF-KernelSHAP,,5,70.0,0.45997855506848245,0.4160363044471033,0.9929884918202818,0.04542473795441372,0.5330099367517993,0.41276091539977566,1722
4.0,TDAH,TDAH,tgarnet,STF-KernelSHAP,,5,90.0,0.6096377654000926,0.40914940105932646,0.978213083125547,0.09120803576048027,0.36857531772545443,0.39179607205307204,1722
4.0,TDAH,TDAH,tgarnet,STF-KernelSHAP,,5,100.0,0.8871364664759879,0.24176107696747526,0.8871364664759879,0.24176107696747526,0.0,0.0,1722
,MI,0-7,shallowconvnet,GradCAM++,12.0,5,0.0,0.9169157550615423,0.12929746467361977,0.9169157550615423,0.12929746467361977,0.0,0.0,34
,MI,0-7,shallowconvnet,GradCAM++,12.0,5,1.0,0.9153322305749444,0.1373474125238404,0.8279933486791218,0.27737033534581323,-0.08733888189582263,0.23674901260340497,34
,MI,0-7,shallowconvnet,GradCAM++,12.0,5,2.0,0.9114006038974313,0.14365797788686213,0.8279933486791218,0.27737033534581323,-0.08340725521830951,0.2322794013237956,34
,MI,0-7,shallowconvnet,GradCAM++,12.0,5,5.0,0.9016654754386229,0.1587021959925853,0.8279933486791218,0.27737033534581323,-0.07367212675950106,0.21363390285488215,34
,MI,0-7,shallowconvnet,GradCAM++,12.0,5,10.0,0.8859352929627194,0.18727666635886467,0.8279933486791218,0.27737033534581323,-0.05794194428359761,0.1964318162016362,34
,MI,0-7,shallowconvnet,GradCAM++,12.0,5,20.0,0.8640332149670404,0.21869174859801632,0.8279933486791218,0.27737033534581323,-0.03603986628791865,0.1509762182696212,34
,MI,0-7,shallowconvnet,GradCAM++,12.0,5,30.0,0.8304002992808819,0.2660452561509928,0.8279933486791218,0.27737033534581323,-0.002406950601760079,0.11752979116101424,34
,MI,0-7,shallowconvnet,GradCAM++,12.0,5,50.0,0.7427099754157311,0.36622515674167805,0.7861136952962946,0.32887090155782256,0.04340371988056337,0.14291469022311118,34
,MI,0-7,shallowconvnet,GradCAM++,12.0,5,70.0,0.5882352941959058,0.4995541683406985,0.7040991071159678,0.40423095542107756,0.11586381292006197,0.23887656257279358,34
,MI,0-7,shallowconvnet,GradCAM++,12.0,5,90.0,0.5882352941959058,0.4995541683406985,0.6222888972681029,0.47651855680912514,0.03405360307219708,0.16742930126154107,34
,MI,0-7,shallowconvnet,GradCAM++,12.0,5,100.0,0.5882352941959058,0.4995541683406985,0.5882352941959058,0.4995541683406985,0.0,0.0,34
,MI,0-7,shallowconvnet,GradCAM++,14.0,4,0.0,0.9904037982225418,0.024690078617475984,0.9904037982225418,0.024690078617475984,0.0,0.0,40
,MI,0-7,shallowconvnet,GradCAM++,14.0,4,1.0,0.9874163150787354,0.03250673624861972,0.9514973752200604,0.09850829674207474,-0.035918939858675,0.07517502666951602,40
,MI,0-7,shallowconvnet,GradCAM++,14.0,4,2.0,0.9894195050001144,0.022105311270563623,0.9514973752200604,0.09850829674207474,-0.03792212978005409,0.08625435938872825,40
,MI,0-7,shallowconvnet,GradCAM++,14.0,4,5.0,0.9860630169510841,0.024821316649605678,0.9514973752200604,0.09850829674207474,-0.03456564173102379,0.08260166654938368,40
